,city,country,# of Bars,# of parks,# of galleries,# of gyms,# of bookstores,# of fast food restaurants
0,San Juan,PR,344,32,19,44,12,122
1,Fairbanks,US,34,4,7,11,4,33
2,Detroit,US,1200,219,139,684,154,1900
3,New Orleans,US,841,134,248,290,82,660
4,Memphis,US,283,76,42,172,35,704
5,Mobile,US,127,28,20,63,10,266
6,Philadelphia,US,1700,421,317,1300,262,1600
7,Baltimore,US,933,228,123,682,142,1500
8,Savannah,US,269,76,70,106,29,340
9,Auburn,US,43,12,3,16,11,102
10,Flint,US,173,36,13,70,13,298
11,Hammond,US,2200,491,430,1300,250,2700
12,Salinas,US,235,204,152,298,67,467
13,Chicago,US,2800,884,569,2100,399,4000
14,Albany,US,268,52,37,163,45,323
15,Montgomery,US,69,27,7,33,8,201
16,Shreveport,US,108,23,12,46,16,220
17,Fayetteville,US,151,70,16,80,19,275
18,Fort Wayne,US,132,20,11,52,19,243
19,Coffeyville,US,14,3,0,5,1,39
20,Saint Louis,US,1000,239,103,438,111,1200
21,Pine Bluff,US,4,3,1,2,0,38
22,Gary,US,1300,282,329,803,148,1600
23,Columbus,US,759,240,99,402,86,1100
24,Louisville,US,390,139,70,213,62,786
25,Chicago,US,2800,884,569,2100,399,4000
26,Little Rock,US,140,33,18,78,21,379
27,Bakersfield,US,127,83,12,125,26,448
28,Beckley,US,26,12,2,8,3,68
29,Milwaukee,US,1000,205,104,352,76,799
30,Baton Rouge,US,189,79,28,129,18,422
31,Virginia Beach,US,426,168,54,310,89,797
32,Folly Beach,US,420,134,80,231,42,452
33,Saginaw,US,134,17,10,33,10,199
34,Sedan,US,1,0,0,0,0,4
35,Cleveland,US,996,195,108,429,86,1000
36,Indianapolis,US,654,361,112,418,84,1100
37,Rockford,US,199,28,12,71,20,286
38,Tulsa,US,265,61,30,152,36,531
39,Kankakee,US,87,14,5,26,2,105
40,Detroit,US,1200,219,139,684,154,1900
41,Las Vegas,US,1200,369,162,793,142,1900
42,Topeka,US,55,9,7,26,5,102
43,Anchorage,US,106,100,29,66,23,172
44,Houma,US,42,7,3,22,3,86
45,Goldsboro,US,20,6,5,14,8,124
46,Jacksonville,US,455,195,45,326,54,839
47,Stockton,US,243,163,38,313,56,682
48,Chambersburg,US,76,30,8,32,10,150
49,Yakima,US,55,15,2,18,9,99
50,Albuquerque,US,250,153,79,242,55,592
51,Cheyenne,US,30,9,4,14,6,62
52,Rocky Mount,US,21,6,2,9,6,89
53,Orlando,US,999,315,109,663,122,1600
54,Hilton Head Island,US,271,69,75,86,31,202
55,Wichita Falls,US,32,8,2,17,5,105
56,Dayton,US,354,112,40,150,47,646
57,Philadelphia,US,1700,421,317,1300,262,1600
58,Saint Joseph,US,54,10,6,7,3,58
59,Alexandria,US,1600,746,396,1900,262,2800
60,Folly Beach,US,420,134,80,231,42,452
61,Macon,US,56,14,11,33,11,247
62,Corpus Christi,US,152,51,22,49,13,255
63,Lima,US,55,4,2,9,3,91
64,Muncie,US,69,58,10,14,11,168
65,San Antonio,US,779,197,112,499,85,1400
66,Yuba City,US,76,55,8,87,16,154
67,Tuscaloosa,US,51,10,2,17,7,125
68,Augusta,US,118,43,13,71,10,303
69,Texarkana,US,17,6,1,14,2,84
70,Othello,US,60,23,7,48,16,132
71,Kokomo,US,51,25,4,11,5,93
72,Wilmington,US,228,41,35,93,20,207
73,Houston,US,1600,395,244,1300,208,3300
74,Miami,US,1200,470,281,1200,113,1800
75,Myrtle Beach,US,289,43,17,70,22,265
76,Visalia,US,87,36,7,81,14,301
77,Coffeyville,US,14,3,0,5,1,39
78,Toledo,US,265,35,15,75,19,397
79,Vineland,US,156,40,16,123,21,187
80,Anniston,US,26,8,2,5,2,145
81,Sebring,US,25,11,4,5,2,52
82,Tulsa,US,264,59,30,152,36,530
83,Atlanta,US,1400,425,262,1300,188,2700
84,Florence,US,33,4,2,13,3,112
85,Lake Charles,US,44,11,2,18,3,102
86,Trenton,US,639,185,99,681,104,894
87,Camden,US,42,15,19,10,19,22
88,Clarksville,US,50,19,6,28,8,180
89,Dothan,US,34,6,2,13,3,102
90,Oklahoma City,US,393,82,73,247,56,843
91,Pueblo,US,49,6,2,14,2,83
92,Redding,US,61,32,6,43,15,125
93,El Dorado,US,3,2,0,1,1,13
94,Abilene,US,33,12,7,22,8,124
95,Kalamazoo,US,141,48,24,62,18,198
96,Park Ridge,US,2900,1000,593,2400,438,4300
97,Wichita,US,161,17,17,60,21,360
98,Fresno,US,198,90,33,207,32,624
99,Modesto,US,210,118,26,236,44,634
100,Killeen,US,88,28,10,65,12,237
101,Nashville,US,628,190,93,407,93,999
102,Cape Girardeau,US,47,10,3,8,2,56
103,Cumberland,US,788,232,144,822,115,797
104,East Stroudsburg,US,199,39,15,91,18,222
105,Los Angeles,US,3100,1800,1200,6100,908,7600
106,Oakland,US,2400,1800,1100,4300,632,3200
107,Williamsport,US,65,7,3,12,8,53
108,Akron,US,614,135,52,283,61,825
109,Chattanooga,US,156,58,23,76,30,386
110,Grand Junction,US,48,13,10,25,9,88
111,Hattiesburg,US,28,6,1,17,6,85
112,Newark,US,5900,1300,1400,4600,642,5000
113,Wilmington,US,228,41,35,93,20,207
114,Gadsden,US,24,7,2,5,1,128
115,Miami,US,1200,470,281,1200,113,1800
116,Staunton,US,66,25,14,30,15,138
117,Cape Coral,US,393,120,64,158,37,412
118,Coffeyville,US,14,3,0,5,1,39
119,Phoenix,US,1200,353,254,1500,189,2900
120,Vallejo,US,2000,1200,982,3200,487,2200
121,Coffeyville,US,14,3,0,5,1,39
122,Jonesboro,US,17,5,2,7,3,81
123,Amarillo,US,73,15,5,32,8,169
124,Syracuse,US,202,44,21,104,16,184
125,Cle Elum,US,56,11,11,15,8,62
126,West Palm Beach,US,465,158,98,453,49,601
127,Battle Creek,US,77,15,4,22,7,115
128,Columbus,US,759,240,99,402,86,1100
129,Crestview,US,104,37,11,64,14,183
130,Dallas,US,1500,459,220,1400,207,3700
131,Johnstown,US,96,27,7,15,4,90
132,Muskegon,US,81,20,11,25,9,106
133,Ocala,US,107,44,9,56,11,239
134,Pensacola,US,167,53,23,83,16,287
135,Rome,US,18,14,4,17,2,126
136,Winchester,US,260,181,49,494,89,1100
137,Asheville,US,280,72,120,124,37,283
138,Dallas,US,1500,459,220,1400,207,3700
139,Las Cruces,US,33,24,14,24,9,116
140,Los Angeles,US,3100,1800,1200,6100,908,7600
141,Pittsburgh,US,956,190,93,418,93,830
142,Dayton,US,344,110,39,140,44,638
143,Roanoke,US,929,252,74,728,115,2300
144,San Francisco,US,2200,1600,1100,3800,552,2500
145,Fort Smith,US,38,13,3,18,11,113
146,Mansfield,US,64,10,1,15,11,117
147,San Angelo,US,36,6,4,20,4,64
148,South Bend,US,216,48,15,53,23,280
149,Buffalo,US,627,195,77,265,76,595
150,Fort Worth,US,718,206,53,593,81,1900
151,Huntsville,US,110,32,14,63,20,281
152,Lexington,US,209,53,35,108,29,435
153,Mount Vernon,US,220,90,55,114,34,231
154,Valdosta,US,30,5,2,9,3,114
155,Great Falls,US,39,1,7,8,3,44
156,Tucson,US,320,119,88,305,53,683
157,Cincinnati,US,820,221,104,364,83,1200
158,Rochester,US,400,104,43,186,49,330
159,Warner Robins,US,57,14,12,35,11,262
160,Champaign,US,109,19,12,37,14,151
161,Coeur d'Alene,US,95,28,9,40,10,106
162,Jefferson City,US,44,9,0,17,3,79
163,Lynchburg,US,41,9,9,25,7,137
164,Salem,US,241,72,25,120,28,335
165,Colorado Springs,US,279,66,52,197,46,470
166,Madera,US,156,75,31,159,25,480
167,Panama City,US,108,26,10,31,8,151
168,Tallahassee,US,122,44,13,69,15,221
169,Cle Elum,US,56,11,11,15,8,62
170,Laredo,US,41,6,0,12,0,89
171,Parkersburg,US,27,8,2,4,2,78
172,Brunswick,US,45,23,9,13,6,70
173,Denver,US,1500,541,282,1500,212,2000
174,Knoxville,US,204,74,23,111,27,491
175,Odessa,US,73,13,5,35,5,164
176,York,US,316,80,48,153,40,411
177,Fort Lauderdale,US,1400,496,337,1300,117,1900
178,Sacramento,US,650,656,158,954,177,1500
179,Gainesville,US,110,62,14,74,17,210
180,Hot Springs,US,46,19,3,8,4,81
181,Arcadia,US,321,88,55,164,29,290
182,Port St. Lucie,US,204,85,27,118,10,269
183,Racine,US,957,170,100,297,72,777
184,Reading,GB,923,44,32,51,74,320
185,San Francisco,US,2200,1600,1100,3800,552,2500
186,Des Moines,US,302,74,23,108,27,320
187,Erie,US,106,10,16,16,9,94
188,Sherman,US,47,14,5,21,2,121
189,Sierra Vista,US,28,16,9,14,4,49
190,Joplin,US,46,9,5,15,6,122
191,Lakeland,US,229,81,9,135,25,449
192,Omaha,US,479,86,36,201,41,547
193,Salt Lake City,US,282,207,65,394,85,1000
194,Sioux Falls,US,87,12,8,25,5,109
195,Tampa,US,1300,468,166,785,111,1500
196,Salisbury,US,38,7,8,18,8,104
197,Springfield,US,122,21,10,55,18,232
198,Hinesville,US,35,10,1,32,3,132
199,New Haven,US,522,141,73,400,65,656
200,Peoria,US,154,25,4,34,10,153
201,Springfield,US,122,21,10,55,18,232
202,Sumter,US,22,8,3,11,2,92
203,Oxnard,US,190,197,79,360,68,520
204,Pocatello,US,41,0,2,7,2,64
205,Bowling Green,US,242,31,13,69,17,368
206,Elmira,US,122,30,11,43,17,87
207,Evansville,US,79,9,5,26,8,146
208,Palm Bay,US,229,82,22,100,22,254
209,Tacoma,US,929,505,194,643,163,1400
210,Austin,US,989,352,185,1200,135,1400
211,Coffeyville,US,14,3,0,5,1,39
212,Dover,US,70,14,14,30,7,108
213,Harrisburg,US,295,72,49,147,38,367
214,Lansing,US,170,25,15,67,20,207
215,Rapid City,US,76,20,8,16,11,82
216,Decatur,US,1400,413,263,1300,194,2800
217,New York,US,6200,1400,1400,4800,668,5100
218,Davenport,US,188,16,9,35,15,183
219,Enid,US,13,3,3,6,2,41
220,Lawton,US,33,8,5,21,4,81
221,Siloam Springs,US,108,30,11,50,13,199
222,New York,US,6200,1400,1400,4800,668,5100
223,Reno,US,394,209,73,259,44,411
224,Tyler,US,48,11,6,36,6,175
225,Walla Walla,US,36,12,4,5,5,33
226,Bloomington,US,84,55,22,43,17,120
227,Boston,US,1600,562,347,1900,308,1500
228,Deltona,US,534,268,80,422,91,874
229,Eau Claire,US,117,8,5,14,6,78
230,Kahului,US,117,133,106,115,13,130
231,San Diego,US,1700,846,386,2300,307,2500
232,Athens,US,103,19,19,51,18,217
233,Bay City,US,119,14,10,30,10,183
234,Lubbock,US,94,13,14,43,10,219
235,San Jose,US,875,940,251,2000,264,2000
236,Santa Maria,US,173,123,44,159,36,297
237,Spokane,US,260,58,23,109,22,295
238,Springfield,US,122,21,10,55,18,232
239,Blacksburg,US,42,7,11,20,7,130
240,Decatur,US,1400,413,263,1300,194,2800
241,Crystal River,US,114,41,10,41,3,160
242,Punta Gorda,US,236,61,38,91,20,296
243,Wheeling,US,2800,975,593,2300,430,4000
244,El Paso,US,280,63,12,124,24,451
245,Florence,US,27,9,1,9,3,84
246,Hagerstown,US,186,57,22,89,36,326
247,Naples,US,273,102,73,147,21,246
248,Prescott,US,59,24,39,36,18,91
249,Seattle,US,1700,884,353,1600,325,2000
250,Sebastian,US,189,71,27,84,15,214
251,Waco,US,73,13,7,30,10,184
252,Allentown,US,387,65,40,208,43,399
253,Fort Collins,US,201,52,47,154,36,285
254,Kingsport,US,64,19,5,21,14,204
255,McAllen,US,120,13,3,51,10,274
256,Springfield,US,122,21,10,55,18,232
257,Binghamton,US,117,9,13,29,10,102
258,Boise,US,245,72,31,174,33,392
259,Cleveland,US,996,195,108,429,86,1000
260,Green Bay,US,239,20,7,57,16,155
261,Johnson City,US,68,25,8,27,15,231
262,New Bern,US,55,10,11,22,8,119
263,Pittsfield,US,97,41,37,38,20,54
264,Providence,US,737,229,141,573,98,657
265,Seattle,US,1700,884,353,1600,325,2000
266,Bismarck,US,48,14,1,13,4,47
267,Grants Pass,US,49,33,9,17,10,65
268,Harrisonburg,US,51,24,16,29,13,110
269,Hartford,US,492,213,70,422,68,681
270,Medford,US,113,48,34,63,28,139
271,Elgin,US,886,394,108,969,152,1800
272,Wichita,US,160,17,17,60,22,367
273,Kingston,US,225,69,48,114,46,146
274,Lebanon,US,250,75,41,102,38,282
275,Merced,US,32,26,4,36,6,130
276,Minneapolis,US,1000,300,154,755,148,1400
277,Morgantown,US,104,16,5,25,12,144
278,Olympia,US,174,125,27,106,32,276
279,Fargo,US,103,3,9,30,9,115
280,Flagstaff,US,90,59,81,71,21,122
281,Grand Rapids,US,266,41,27,130,26,365
282,Albany,US,268,52,37,163,45,323
283,College Station,US,91,39,14,40,9,192
284,Dubuque,US,101,13,11,16,9,57
285,Elizabethtown,US,27,19,4,26,4,115
286,Gettysburg,US,84,36,16,40,13,159
287,Madison,US,407,149,40,197,47,310
288,Mankato,US,44,5,2,12,3,42
289,Santa Rosa,US,324,206,166,414,77,376
290,Warren,US,1100,207,138,644,144,1800
291,Bellingham,US,274,86,47,174,50,299
292,Boston,US,1600,562,347,1900,308,1500
293,Brownsville,US,77,27,12,25,4,154
294,Cedar Rapids,US,224,47,21,89,24,201
295,Eugene,US,171,71,17,111,37,222
296,Janesville,US,186,29,7,48,9,160
297,Longview,US,27,6,0,19,1,133
298,Mineola,US,2900,760,428,2400,305,2800
299,Norwich,US,233,84,29,122,28,206
300,Anaheim,US,2500,1700,858,4600,714,7400
301,Billings,US,82,10,9,29,9,81
302,California,US,52,20,6,23,7,88
303,Carson City,US,320,205,63,217,35,300
304,Chico,US,71,25,14,76,18,118
305,Gainesville,US,110,62,14,74,17,210
306,Kennewick,US,81,31,7,58,19,149
307,Michigan City,US,121,42,15,55,8,206
308,Santa Cruz,US,467,482,155,979,145,900
309,Sioux City,US,52,5,2,13,4,83
310,Waterloo,BE,795,133,212,119,153,266
311,Appleton,US,298,20,14,76,22,208
312,El Centro,US,57,6,0,18,5,82
313,Farmington,US,839,250,143,588,132,1000
314,Kansas City,US,714,231,108,440,77,1200
315,Germantown,US,1700,731,400,1900,281,2600
316,Owensboro,US,31,8,3,14,6,81
317,Portland,US,1500,556,250,1000,211,1400
318,Sheboygan,US,143,27,10,26,5,78
319,Waltham,US,1600,568,348,2000,324,1600
320,Weirton,US,173,20,9,32,10,181
321,Bloomington,US,84,55,22,43,17,120
322,Glens Falls,US,151,25,16,57,14,102
323,Lewiston,US,91,48,9,29,15,64
324,Honolulu,US,457,527,145,516,116,706
325,Bridgeport,US,700,193,117,679,77,814
326,Lancaster,US,241,70,40,117,35,262
327,Logan,US,14,11,8,16,10,92
328,Portland,US,1500,556,250,1000,211,1400
329,Greeley,US,209,36,42,150,35,294
330,Sedan,US,1,0,0,0,0,4
331,Ogden,US,71,58,14,103,23,344
332,San Luis Obispo,US,190,154,62,171,39,315
333,Utica,US,97,7,6,18,6,66
334,Worcester,US,357,79,46,306,52,380
335,Charlottesville,US,101,29,25,65,18,138
336,Santa Fe,US,88,41,184,73,32,97
337,Milwaukee,US,985,219,94,354,75,753
338,Grand Island,US,48,7,0,9,2,60
339,Manchester,GB,1700,158,87,128,99,877
340,Kansas City,US,714,231,108,440,77,1200
341,Harrisonburg,US,39,20,11,24,8,97
342,State College,US,82,29,9,30,11,80
343,Bend,US,149,86,36,92,21,125
344,Cambridge,GB,396,21,17,24,20,116
345,Corvallis,US,150,43,13,83,15,177
346,Duluth,US,102,21,11,17,10,74
347,San Rafael,US,2000,1200,987,3100,470,2000
348,Ames,US,87,47,5,31,11,113
349,Pleasant Valley,US,301,89,64,190,54,263
350,Fond du Lac,US,159,23,7,26,6,98
351,Grand Forks,US,34,0,0,7,4,44
352,Manhattan,US,45,3,4,18,3,60
353,Waukegan,US,719,374,144,759,125,1200
354,Wenatchee,US,64,22,11,20,8,59
355,Altoona,US,58,16,4,7,2,53
356,Provo,US,51,108,22,212,41,575
357,The Villages,US,148,69,16,85,18,304
358,Idaho Falls,US,41,6,4,18,2,113
359,La Crosse,US,132,6,6,19,5,56
360,Napa,US,441,384,177,777,115,883
361,Wausau,US,74,5,2,16,4,53
362,Ann Arbor,US,374,139,64,387,76,646
363,Hyannis,US,220,120,91,111,46,121
364,Saint Cloud,US,80,11,6,24,11,99
365,Bremerton,US,1300,584,315,947,235,1200
366,Boulder,US,1200,399,264,1000,149,1300
367,Albany,US,268,52,37,163,45,323
368,Bangor,US,45,17,6,13,8,42
369,Casper,US,28,3,4,6,5,48
370,Columbus,US,759,240,99,402,86,1100
371,Dalton,US,144,43,20,68,23,350
372,Danville,US,1000,1000,400,2400,339,2200
373,Iowa City,US,197,44,20,73,20,144
374,Lewiston,US,91,48,9,29,15,64
375,Missoula,US,72,11,10,36,14,77
376,Ocean City,US,195,20,20,40,12,154
377,Oshkosh,US,275,21,15,59,16,176
378,Rochester,US,400,104,43,186,49,330
379,St George,US,21,36,11,30,10,122
